budget,genres,runtime,popularity,vote_average,release_month,director,revenue
0.17391303449905474,"['Comedy', 'Drama', 'Romance']",0.6938775510204082,0.18343493681715295,0.45833333333333337,0.9999999999999999,Forest Whitaker,0.34269484257023874
0.38043477587429103,"['Action', 'Adventure', 'Thriller']",0.47959183673469374,0.24864771478306333,0.33333333333333337,0.9999999999999999,Peter Hyams,0.2707414110469895
0.6739130399338374,"['Comedy', 'Drama', 'Romance']",0.47959183673469374,0.3003044896358743,0.5416666666666669,0.9090909090909091,Rob Reiner,0.4538829765226206
0.1793478171668241,"['Drama', 'Romance']",0.7857142857142857,0.5072767390878143,0.6875000000000001,0.9999999999999999,Ang Lee,0.5679874695063303
0.04347825047258968,"['Crime', 'Comedy']",0.3979591836734693,0.42901765079817733,0.5416666666666669,0.9999999999999999,Allison Anders,0.018091448659119994
0.32608694919659725,"['Crime', 'Comedy', 'Adventure']",0.3163265306122448,0.38999041117864075,0.45833333333333337,0.9090909090909091,Steve Oedekerk,0.8935727538815443
0.6521739092627599,"['Action', 'Comedy', 'Crime']",0.44897959183673464,0.34875767135413877,0.3125000000000001,0.9090909090909091,Joseph Ruben,0.14906983552403857
0.32880434053048196,"['Comedy', 'Thriller', 'Crime']",0.4693877551020408,0.6021640555842706,0.5208333333333336,0.8181818181818182,Barry Sonnenfeld,0.4842687328306327
0.5434782559073723,"['Action', 'Adventure', 'Crime', 'Thriller']",0.7448979591836734,0.5259444989038801,0.4375000000000001,0.8181818181818182,Richard Donner,0.12749455365226087
0.03913042433837418,"['Drama', 'Romance']",0.5408163265306122,0.4910628620314756,0.6666666666666669,0.8181818181818182,Mike Figgis,0.20952426387371884
0.13043477315689972,"['Comedy', 'Drama', 'Family']",0.41836734693877553,0.41260800494293637,0.5625000000000001,0.8181818181818182,Lesli Linka Glatter,0.11528041638345478
0.19565216517013223,"['Fantasy', 'Science Fiction', 'Adventure']",0.4999999999999999,0.46684237855050764,0.7708333333333334,0.36363636363636365,Jean-Pierre Jeunet,0.007314879271653927
0.3206521665288279,"['Science Fiction', 'Thriller', 'Mystery']",0.7142857142857141,0.5844691512051378,0.7291666666666669,0.9999999999999999,Terry Gilliam,0.7103629962505505
0.11956520782136096,['Drama'],0.6428571428571427,0.3275320845289655,0.7083333333333334,0.9999999999999999,Tim Robbins,0.1656151928285077
0.19565216517013223,"['Action', 'Fantasy']",0.4285714285714285,0.5166384230131713,0.3125000000000001,0.6363636363636364,Paul W.S. Anderson,0.5141166765253865
0.21739129584120975,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",0.47959183673469374,0.4965978101365843,0.5833333333333336,0.36363636363636365,Gus Van Sant,0.08955064272663135
0.10869564248582221,"['Drama', 'Romance']",0.5816326530612245,0.21320961733830004,0.5416666666666669,0.8181818181818182,Jocelyn Moorhouse,0.09918377759784869
0.0652173811436672,"['Drama', 'Crime', 'Thriller']",0.47959183673469374,0.7748273833924465,0.8750000000000001,0.5454545454545454,Bryan Singer,0.09820531609516875
0.16304346916351597,"['Comedy', 'Romance']",0.36734693877551017,0.7556577254175059,0.5833333333333336,0.7272727272727273,Woody Allen,0.02818900374736257
0.0380434678048203,['Comedy'],0.3265306122448979,0.6924696977798372,0.6458333333333334,0.2727272727272727,F. Gary Gray,0.11871324011365841
0.206521730505671,"['Horror', 'Action', 'Thriller', 'Crime']",0.4999999999999999,0.7290428169984731,0.6250000000000001,0.0,Robert Rodriguez,0.10870276802342269
0.5434782559073723,"['Action', 'Thriller', 'Romance']",0.3265306122448979,0.28099747506252937,0.04166666666666663,0.9090909090909091,Andrew Sipes,0.048529169510004945
0.16304346916351597,"['Comedy', 'Family']",0.3163265306122448,0.13956390468212523,0.0,0.0,Steve Miner,0.008593562123680424
0.21739129584120975,"['Horror', 'Science Fiction']",0.4999999999999999,0.6064054752526422,0.45833333333333337,0.7272727272727273,Christian Duguay,0.02432620508492847
0.0869565118147447,"['Drama', 'Crime']",0.5816326530612245,0.213220121078178,0.5833333333333336,0.9999999999999999,Gary Fleder,0.002228888029717845
0.4130434718809073,"['Action', 'Drama']",0.7142857142857141,0.45477880953654026,0.5000000000000001,0.09090909090909091,Ridley Scott,0.04333533637972643
0.08879741400866756,"['Crime', 'Drama', 'Thriller']",0.3163265306122448,0.32550139317138094,0.45833333333333337,0.9090909090909091,John Badham,0.034396248542870204
0.5108695599007561,"['Drama', 'Horror', 'Thriller', 'Romance']",0.4591836734693876,0.611504827086341,0.3750000000000001,0.09090909090909091,Stephen Frears,0.052084034815393844
0.1521739038279772,"['Comedy', 'Horror', 'Romance']",0.41836734693877553,0.43113460590181857,0.1250000000000001,0.8181818181818182,Wes Craven,0.08330482527068662
0.5434782559073723,"['Action', 'Adventure', 'Drama', 'Thriller']",0.4999999999999999,0.7109095121820806,0.3750000000000001,0.09090909090909091,John Woo,0.6322337822305228
0.07608694647920594,"['Comedy', 'Crime', 'Drama']",0.3265306122448979,0.32817438109326824,0.6041666666666669,0.09090909090909091,Wes Anderson,0.002356382284650768
0.13043477315689972,['Comedy'],0.33673469387755095,0.4559033750987696,0.5416666666666669,0.09090909090909091,Dennis Dugan,0.1733628112380975
0.26086955718336474,"['Drama', 'Romance']",0.7755102040816325,0.2828441370951931,0.7083333333333334,0.36363636363636365,Clint Eastwood,0.7658011695981229
0.014130424066635044,"['Crime', 'Drama']",0.5612244897959183,0.6698017240867152,0.8750000000000001,0.09090909090909091,Martin Scorsese,0.11890953658457384
